data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
10/03/2023;19:59:00;147;AC02-ACIDENTE COM VÍTIMA;1123,632;BR-230/PA;Leste;Queda de Moto;;;;1;;;;;;;0;2;;;
10/03/2023;22:35:00;155;AC02-ACIDENTE COM VÍTIMA;490,18;BR-163/PA;Sul;Saida de Pista;;;1;;;3;;;;;3;2;;;
11/03/2023;02:44:00;20;AC02-ACIDENTE COM VÍTIMA;309,986;BR-163/PA;Sul;Saida de Pista;;;;;;1;;;;1;1;1;;;
11/03/2023;08:50:00;101;AC03-ACIDENTE SEM VÍTIMA;488,7;BR-163/PA;Sul;Colisão Lateral;;;2;;;3;;;;;5;;;;
11/03/2023;15:39:00;123;AC02-ACIDENTE COM VÍTIMA;524,316;BR-163/PA;Norte;Tombamento;;;1;;;1;;;;;1;1;;;
11/03/2023;19:08:00;143;AC03-ACIDENTE SEM VÍTIMA;605,8;BR-163/PA;Sul;Saida de Pista;;;1;;;2;;;;;3;;;;
12/03/2023;04:51:00;22;AC02-ACIDENTE COM VÍTIMA;452,114;BR-163/PA;Norte;Queda de Moto;;;;1;;;;;;;0;2;;;
12/03/2023;10:12:00;98;AC02-ACIDENTE COM VÍTIMA;306,376;BR-163/PA;Norte;Tombamento;;;1;;;1;;;;;1;1;;;
12/03/2023;19:04:00;187;AC02-ACIDENTE COM VÍTIMA;653,1;BR-163/PA;Norte;Saida de Pista;;;1;;;;;;;;0;1;;;
13/03/2023;08:03:00;51;AC02-ACIDENTE COM VÍTIMA;263,364;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
13/03/2023;16:00:00;155;AC02-ACIDENTE COM VÍTIMA;1033;BR-163/MT;Norte;Queda de Moto;;;;1;;;;;;;0;1;;;
13/03/2023;18:08:00;180;AC02-ACIDENTE COM VÍTIMA;669,429;BR-163/PA;Sul;Tombamento;;;2;;;;;;;;0;2;;;
14/03/2023;21:55:00;182;AC02-ACIDENTE COM VÍTIMA;318,235;BR-163/PA;Norte;Queda de Moto;;;;1;;;;;;;0;;1;;
15/03/2023;04:59:00;21;AC02-ACIDENTE COM VÍTIMA;514,839;BR-163/PA;Norte;Colisão Lateral;;;2;;;2;;;;;2;3;;;
15/03/2023;10:27:00;98;AC02-ACIDENTE COM VÍTIMA;622;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
15/03/2023;13:26:00;125;AC02-ACIDENTE COM VÍTIMA;1037,577;BR-163/MT;Norte;Colisão Transversal;;;;1;;;;;;1;1;;1;;
15/03/2023;13:34:00;126;AC02-ACIDENTE COM VÍTIMA;410,514;BR-163/PA;Norte;Colisão Traseira;;;1;1;;2;;;;;3;;;1;
15/03/2023;15:56:00;153;AC02-ACIDENTE COM VÍTIMA;191,856;BR-163/PA;Norte;Tombamento;;;1;;;2;;;;;2;1;;;
15/03/2023;16:55:00;163;AC02-ACIDENTE COM VÍTIMA;355,306;BR-163/PA;Norte;Colisão Transversal;1;;1;;;;;;;;0;2;;;
15/03/2023;20:15:00;177;AC02-ACIDENTE COM VÍTIMA;1123,602;BR-230/PA;Leste;Queda de Moto;;;;1;;;;;;;0;1;;;
16/03/2023;08:15:00;48;AC02-ACIDENTE COM VÍTIMA;503,79;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;0;1;;;
16/03/2023;14:38:00;135;AC01-ACIDENTE COM VÍTIMA FATAL;489,079;BR-163/PA;Norte;Colisão Frontal;1;;1;;;2;;;;;2;2;;;1
