data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
10/06/2023;18:49:00;165;Com vítima;438,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
10/06/2023;18:54:00;166;Com vítima;126,110;BR-80/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10/06/2023;19:23:00;173;Sem vítima;659,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
11/06/2023;00:02:00;1;Sem vítima;435,000;BR-414/GO;Crescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/06/2023;01:49:00;14;Sem vítima;440,000;BR-153/GO;Decrescente;Colisão lateral no mesmo sentido;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
11/06/2023;03:50:00;19;Com vítima;305,000;BR-153/GO;Crescente;Colisão frontal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
11/06/2023;05:28:00;28;Com vítima;382,000;BR-414/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
11/06/2023;16:00:00;134;Com vítima;628,500;BR-153/GO;Decrescente;Colisão lateral no mesmo sentido;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
11/06/2023;19:14:00;175;Sem vítima;437,300;BR-414/GO;Decrescente;Engavetamento;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
11/06/2023;19:19:00;177;Com vítima;63,200;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
12/06/2023;00:19:00;4;Sem vítima;406,300;BR-414/GO;Decrescente;Atropelamento de animal;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
12/06/2023;02:38:00;15;Sem vítima;211,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12/06/2023;07:32:00;50;Com vítima;419,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
12/06/2023;10:32:00;86;Sem vítima;348,000;BR-153/GO;Decrescente;Colisão lateral no mesmo sentido;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12/06/2023;19:33:00;162;Com vítima;90,000;BR-153/GO;Crescente;Atropelamento de animal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/06/2023;19:57:00;167;Com vítima;422,000;BR-153/GO;Decrescente;Atropelamento de animal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/06/2023;08:45:00;23;Sem vítima;360,000;BR-153/GO;Decrescente;Saída de pista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/06/2023;17:00:00;91;Com vítima;87,000;BR-153/GO;Crescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
13/06/2023;18:49:00;115;Sem vítima;671,000;BR-153/GO;Crescente;Colisão traseira;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
13/06/2023;22:42:00;146;Sem vítima;133,570;BR-80/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/06/2023;23:53:00;152;Sem vítima;383,000;BR-414/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/06/2023;13:02:00;96;Sem vítima;109,000;BR-153/GO;Crescente;Colisão frontal;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14/06/2023;23:03:00;174;Com vítima;341,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15/06/2023;00:52:00;5;Sem vítima;3,000;BR-153/GO;Crescente;Colisão lateral no mesmo sentido;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
15/06/2023;11:31:00;86;Sem vítima;414,700;BR-414/GO;Decrescente;Choque;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
15/06/2023;14:31:00;114;Sem vítima;175,000;BR-153/GO;Crescente;Colisão traseira;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
15/06/2023;16:10:00;136;Com vítima;701,800;BR-153/GO;Decrescente;Colisão lateral em sentido contrário;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
15/06/2023;18:53:00;165;Com vítima;785,000;BR-153/GO;Decrescente;Colisão lateral em sentido contrário;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
15/06/2023;22:56:00;199;Com vítima;430,000;BR-153/GO;Crescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
16/06/2023;00:17:00;4;Sem vítima;305,500;BR-153/GO;Decrescente;Capotamento;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
